"","setting","scale_s","scale_t","sill"
"1",0,0.60237927146951,0.114731659788575,1.02160878617355
"2",1,0.60460994983028,0.114160026242632,1.02462584020111
"3",2,0.597215596790894,0.109897817455767,1.02282149994576
"4",3,0.605582460107138,0.101537932277204,1.02165491694003
"5",4,0.584792781451746,0.101188583325602,1.01752256169349
"6",0,0.652869666235478,0.141455530922655,0.995433902089759
"7",1,0.600222672793887,0.117483688138372,0.98891736776872
"8",2,0.60662748712919,0.142717528630654,0.998083127935594
"9",3,0.600335468201701,0.128537336946572,0.995211867401206
"10",4,0.608550320190993,0.14515417056711,0.991829727010227
"11",0,0.611017257303486,0.110234866171691,1.01294324705748
"12",1,0.609191508571759,0.100674939845405,1.02135697030384
"13",2,0.605378291118427,0.106401555894303,1.01819550852888
"14",3,0.603063868625394,0.104023975815315,1.0125648042354
"15",4,0.599616904637732,0.111513869568687,1.01824844255398
"16",0,0.615246576812623,0.0639761127786619,0.997161281206774
"17",1,0.619685823684869,0.0836012686875476,1.00287260772701
"18",2,0.623871360026696,0.0731264231514343,1.00775373500927
"19",3,0.60839430683402,0.0808379689297154,0.992245602687329
"20",4,0.615867734205141,0.0751791665636656,0.993894704231534
"21",0,0.630625393816317,0.136908220525138,1.03683898875225
"22",1,0.593340203632694,0.107125768865267,1.03829472900966
"23",2,0.606088244498882,0.116802719537281,1.03738571726733
"24",3,0.608943473642585,0.116291040032728,1.04380392187123
"25",4,0.617064126979743,0.115146385410835,1.04317458421507
"26",0,0.597430890997176,0.114163974575195,0.979059186571086
"27",1,0.606922624355213,0.0961881661258548,0.978900649048213
"28",2,0.609408355659197,0.0968738666427398,0.977906172505412
"29",3,0.606559138743189,0.110954942087289,0.976963822761736
"30",4,0.599890146263595,0.0903179801373804,0.970525484384681
"31",0,0.614337509364826,0.0778604951262674,1.0117009476559
"32",1,0.618680071896567,0.0793667792068571,1.00163564386292
"33",2,0.622360455545612,0.0701474801810632,1.00322201880794
"34",3,0.623082367119976,0.0794285334571271,1.01587683314507
"35",4,0.629219591587493,0.0768410926395384,1.01554134490298
"36",0,0.569345493365084,0.0994927581837519,0.988436054340777
"37",1,0.573659700809831,0.105566367114978,0.99870661878166
"38",2,0.578604663839466,0.0986104836824752,0.993998181040824
"39",3,0.567710654892199,0.089032421799484,0.985474225417219
"40",4,0.572265349455561,0.0973060068432413,0.997820208991697
"41",0,0.549582548649115,0.0710101313376123,0.967970720948255
"42",1,0.551370359561909,0.0855142503184478,0.963195736703038
"43",2,0.54748674392932,0.0770495483975513,0.956926292856753
"44",3,0.551235727718389,0.0693115157390917,0.9703567529871
"45",4,0.550230347190465,0.0583790827600649,0.967474845222716
"46",0,0.591567492231124,0.104692300753851,1.00064305294311
"47",1,0.584489488463573,0.117834471003822,1.00584826328751
"48",2,0.588546057883488,0.118141355571071,0.998223267977099
"49",3,0.569273998175706,0.109704241949817,1.00004597125929
"50",4,0.575585430993125,0.106923393338948,0.992256068151337
"51",0,0.578066834303913,0.0728699848973978,1.01096572794859
"52",1,0.590989295406647,0.0711099536537995,1.00572409645495
"53",2,0.59200795575709,0.0672005142103365,1.0104721565287
"54",3,0.602832106495458,0.0699741180167816,1.00980579756199
"55",4,0.601946006591639,0.0500635284990966,1.00751294207064
"56",0,0.647031506879642,0.0610613146878334,0.998209349835005
"57",1,0.652413310325427,0.0830025336234391,1.00450931515333
"58",2,0.650897230340237,0.0862188667295335,0.996352213866511
"59",3,0.661645116574807,0.0825808260385897,1.00715683257599
"60",4,0.659365118527521,0.0779237423639981,1.01447954575401
"61",0,0.62035586210344,0.104463198219404,1.02409064136314
"62",1,0.603093793520087,0.0806976761747389,1.01444652333848
"63",2,0.603037315730282,0.0899270025747126,1.01095662506308
"64",3,0.615418588761469,0.101635424869023,1.02665118079608
"65",4,0.61787598636729,0.0938823776884183,1.02818928560732
"66",0,0.609067290781391,0.0301127533306202,0.945560134833418
"67",1,0.614327780598731,0.0660856790562509,0.958153542457112
"68",2,0.621363572312538,0.0529921311816829,0.950684080416935
"69",3,0.610345067234134,0.0618573185198927,0.94305639728318
"70",4,0.618278545297861,0.0524576379237448,0.948887105049766
"71",0,0.573000862607219,0.0426479440835146,1.00236586876707
"72",1,0.582160470799449,0.0560899666500847,1.01469507956671
"73",2,0.581258948086907,0.0583184748785506,1.0070295016076
"74",3,0.59104404318832,0.0607184655932402,1.00529707571043
"75",4,0.586670108993416,0.0576814620615298,1.00494701591358
"76",0,0.669795136423329,0.104584432931252,1.00478296660798
"77",1,0.630700577891702,0.0797211909198757,1.00770212888432
"78",2,0.63886490103077,0.0934654576866882,1.01192317193849
"79",3,0.631921894476811,0.0745290664643577,1.00007117030126
"80",4,0.649322726016523,0.0891309019892904,0.998435906330019
"81",0,0.57715823739092,0.0613103576862504,0.984518550403202
"82",1,0.599432975209592,0.0949177092237005,0.99718458237882
"83",2,0.60278725478769,0.0772872912205055,0.998446594348008
"84",3,0.595407127492808,0.0880844475640032,0.986432873781905
"85",4,0.591396488357981,0.0876647778422242,0.995497182584916
"86",0,0.662481261028434,0.137128861914395,1.0279598069837
"87",1,0.635956162579074,0.132044267832962,1.01994905871161
"88",2,0.648113419579268,0.1457028626953,1.0275913455174
"89",3,0.648574145194737,0.126072379250396,1.03225808345817
"90",4,0.66397558418342,0.126689392374004,1.03990053230229
"91",0,0.585276170069794,0.0839488090169993,0.99267641414668
"92",1,0.590390850846823,0.0920648172196155,0.985584028766146
"93",2,0.58506578964646,0.0898186386395492,0.991740254339227
"94",3,0.593670481884951,0.0936088319921098,0.996194076354821
"95",4,0.572180235536684,0.0944909870379783,0.994779907262997
"96",0,0.620333389620168,0.0316996896190323,1.03127585584434
"97",1,0.625133482646201,0.0476827565660394,1.02952614770628
"98",2,0.620608494495138,0.0389555938131156,1.03126426948158
"99",3,0.622167185814946,0.0372153087879333,1.03180088311114
"100",4,0.608988141669254,0.0339819653136563,1.02460264150252
"101",0,0.612805771144166,0.122009721026607,1.0049146297707
"102",1,0.597669752305361,0.0948827858457796,1.00726985462741
"103",2,0.601344371133433,0.105121878191002,0.999415250521524
"104",3,0.593180716135431,0.0939072378043257,1.00629210066714
"105",4,0.601690855367974,0.0929960741097348,1.00881531868711
"106",0,0.582718502885341,0.0646992560745405,0.9912388481144
"107",1,0.591484424512376,0.080802510486214,0.996841730104905
"108",2,0.587793511596767,0.0682972498455202,0.997733111196883
"109",3,0.594543066137748,0.0827018675151644,0.99796860717576
"110",4,0.58815108157888,0.0826061780742395,0.999685055683666
"111",0,0.592787718779037,0.0705353091846946,0.993172325735817
"112",1,0.58245694407502,0.0804387081842558,0.991470492017298
"113",2,0.576956524404669,0.0819502088162539,0.986775330231261
"114",3,0.591887719874431,0.081300267058476,0.992556705790228
"115",4,0.586057802596198,0.0848197441055814,0.98612270206517
"116",0,0.599683634628339,0.119505628006422,0.965823515550689
"117",1,0.586244789453443,0.106245372339606,0.952671776698312
"118",2,0.591413496440349,0.118892533831753,0.965007195170519
"119",3,0.579425594535415,0.109975641971777,0.957161267463561
"120",4,0.588314854709416,0.112259755209759,0.956191885614489
"121",0,0.582697653636663,0.0808648536940028,0.968796831635722
"122",1,0.584638047037398,0.0819343628600709,0.976795544253817
"123",2,0.576395666380224,0.0802527570130458,0.966027792596402
"124",3,0.580082023616546,0.0784235683652183,0.971192762770118
"125",4,0.580786508801427,0.0759324968800027,0.972458699511853
"126",0,0.577789371187027,0.0876618316939416,1.00651398064133
"127",1,0.589496760228666,0.0917331569764391,0.99960971447927
"128",2,0.583897607330357,0.0819646308102573,1.00230291620374
"129",3,0.581557653025115,0.0879060907817906,1.00279154691014
"130",4,0.568693639566315,0.0877210762088849,0.992988785678522
"131",0,0.585556091051771,0.0759226739826436,0.951599950093815
"132",1,0.560419714216192,0.0650369831328867,0.949140358770125
"133",2,0.55721164642312,0.0755901034197243,0.95190500261593
"134",3,0.572058114635138,0.0769796021819907,0.953180394115
"135",4,0.566677141693793,0.0718318878286033,0.947316200834108
"136",0,0.569344998029528,0.0499559317775879,0.980215784005319
"137",1,0.573231624430002,0.0638394951297489,0.973647541848677
"138",2,0.56470763498973,0.0700240383876199,0.977314682395747
"139",3,0.583927657351067,0.0703717563320047,0.985831398170721
"140",4,0.572860287346482,0.0648438207464063,0.979976743299869
"141",0,0.608699436583401,0.126527301193552,0.981210840350171
"142",1,0.58267615113064,0.120439717535968,0.983885480927387
"143",2,0.596690490715546,0.118021581483158,0.988120630951942
"144",3,0.584280721248023,0.122322826998961,0.972315701585393
"145",4,0.595310649048943,0.136562077781863,0.976841747433256
"146",0,0.634879857162989,0.0813489238148158,0.98153267883911
"147",1,0.614321214248066,0.0751720899920032,0.970180489415264
"148",2,0.6186403229458,0.0912921156256362,0.971349740573093
"149",3,0.613716170811851,0.0832580000486523,0.972072631899453
"150",4,0.61800237112668,0.0847452169997384,0.97682671494655
"151",0,0.610625441668317,0.0570903142877683,0.988459252011168
"152",1,0.635592278575648,0.0653340955962807,0.991741941189053
"153",2,0.62900966185078,0.0578950868493265,0.988905296890883
"154",3,0.633400034088881,0.0689566400193683,0.983750931587793
"155",4,0.633876701793036,0.0572817714806902,0.982372358813846
"156",0,0.614182357625948,0.0731880947472525,1.00622418751905
"157",1,0.602468802929317,0.0880810978895929,1.01552345840637
"158",2,0.611580864341595,0.0871184163635818,1.00790338374303
"159",3,0.594752437675569,0.0803201735914796,1.01384864870866
"160",4,0.593993920268341,0.0844774389692502,1.00583745155574
"161",0,0.655205102905817,0.0759016366685802,1.00676327788577
"162",1,0.646837642257695,0.0850547583766263,1.01021474268562
"163",2,0.654467187341985,0.0788037845136323,1.01612965064482
"164",3,0.646030056538174,0.0890243793843075,1.00644961478686
"165",4,0.658932433511051,0.0895024426005092,1.00517530022231
"166",0,0.605576303131701,0.0982569495615288,1.01712303440523
"167",1,0.604676141688306,0.107068120187908,1.01269834509654
"168",2,0.607461638794299,0.107721775771011,1.01027298153056
"169",3,0.60378672901048,0.116652621312998,1.02076916724655
"170",4,0.603000607417004,0.114838303208218,1.02453412253875
"171",0,0.587123118192556,0.0359767126054957,1.01967858686264
"172",1,0.596344851211551,0.0565335361314219,1.02301385605404
"173",2,0.589293871346647,0.045087062680055,1.02515979180931
"174",3,0.602467333069715,0.0496244314238098,1.01695437743172
"175",4,0.588411658314405,0.0490556709761091,1.01660276727256
"176",0,0.627869621323015,0.126910691756141,0.991395798967759
"177",1,0.609850023435316,0.117175317307065,0.985796973138744
"178",2,0.613035115932301,0.132507755785,0.987359261630923
"179",3,0.610388397642785,0.117427680575821,0.996426937057261
"180",4,0.61392063498603,0.128225980852769,0.991022300595515
"181",0,0.589707237793315,0.0302606257572478,0.991689600668249
"182",1,0.59630922833431,0.0447453769982713,0.990832532185426
"183",2,0.588316316469724,0.0394756436837171,0.999502555601047
"184",3,0.59678741989403,0.0468260595515015,0.993331048140272
"185",4,0.599237136864051,0.0426118505502577,0.994402100422581
"186",0,0.579325766256795,0.0632223740317033,1.01073824192572
"187",1,0.591537067419623,0.0909605645342273,1.01566950431724
"188",2,0.596086788407301,0.0779632769909373,1.02130092197187
"189",3,0.590452443077917,0.0671720100749955,1.01093647510808
"190",4,0.588697389988384,0.071142018863181,1.01351699192191
