"","setting","scale_s","scale_t","sill"
"1",0,1.04665162377174,0.183842461234379,1.02747425761807
"2",1,1.02775327614047,0.137562516922721,1.00772544262879
"3",2,1.05732693564373,0.162937085365653,1.00886944065992
"4",3,1.0402377470284,0.160226009331079,1.02039838813795
"5",4,1.03194328200836,0.157407480154027,1.03347488516125
"6",0,1.118636492252,0.213363987107949,1.04796328382246
"7",1,1.0425325721467,0.160451014870674,0.993580649658182
"8",2,1.05357598058221,0.154900808952643,1.00172252320716
"9",3,1.11457610451099,0.211592482185145,1.04525834702457
"10",4,1.09822586872534,0.170338458289683,1.02694452912362
"11",0,1.05471689288947,0.219288163617465,1.0144557667278
"12",1,1.08091820025886,0.150349568015658,1.03438759211588
"13",2,1.1405654270079,0.132972091767418,1.06488572896229
"14",3,1.04958891061882,0.169278723352606,1.01189504238812
"15",4,1.09366759363744,0.226344954616889,1.03947052732416
"16",0,1.0184069235715,0.257640858824939,0.992630255345846
"17",1,1.06117032203876,0.233728938683178,1.04658741979801
"18",2,1.03260325888714,0.177562143861983,1.03021102888981
"19",3,0.998458999956668,0.198412907995446,0.992401327921896
"20",4,1.03891960660799,0.208393246033961,1.03013517124495
"21",0,1.03182806820131,0.12492566207561,1.02286223886212
"22",1,1.07423676048497,0.148666803955855,1.03325894043743
"23",2,1.16337568445126,0.157691555494783,1.067519779758
"24",3,1.03808217539302,0.159615110516168,1.02302658748148
"25",4,1.0589824292454,0.150966546756922,1.01690139869052
"26",0,1.14558588621528,0.197015894533379,1.03705629076556
"27",1,1.11610972263464,0.139277790846514,0.982405417803751
"28",2,1.10837203812459,0.128031203921507,0.992173844872464
"29",3,1.1432980375008,0.174600757650445,1.0366463545591
"30",4,1.112517398706,0.168495164599125,1.01706912905701
"31",0,1.05563835841103,0.132484485606782,1.00659615910911
"32",1,1.05333811633667,0.177440541819442,0.998733531443526
"33",2,1.11134486279923,0.204733086999584,1.02602243707605
"34",3,1.053729361084,0.206770509075629,1.00487387259069
"35",4,1.04117878756986,0.216468311455852,1.01245597009623
"36",0,1.02631592725447,0.279942825049993,0.984797843944646
"37",1,1.05550799138541,0.226115796682029,0.938953465059485
"38",2,1.06020235888559,0.241083822286065,0.94390948096437
"39",3,1.01282134199369,0.236709036763024,0.987542763143146
"40",4,1.04067070160131,0.228553951656037,0.946531672575182
"41",0,1.03217192865973,0.16047325570151,0.994761694627129
"42",1,0.986313447432764,0.139930976550301,0.944771134852937
"43",2,0.978013513176893,0.158368732895313,0.935644250616518
"44",3,1.03928310587766,0.197354960604101,1.00371045362883
"45",4,0.998434721023886,0.131521924231539,0.954316787277293
"46",0,1.06322182055313,0.119569116844186,1.02489350479993
"47",1,1.12644521171545,0.0974388867653314,1.01202903541685
"48",2,1.07072155755511,0.0997378150258621,0.983136439221061
"49",3,1.07635055315253,0.10260233184673,1.03227726866432
"50",4,1.07982221931972,0.0877382865412994,1.01303836835924
"51",0,1.00281172082531,0.148442321242811,0.987000618071425
"52",1,1.02524131773398,0.261885029443085,1.04161185515794
"53",2,1.09974250909746,0.304262452003812,1.09925095514554
"54",3,1.00759211478289,0.191350448450442,0.994226572056826
"55",4,1.00073116012683,0.204950929297246,1.01683563869695
"56",0,1.07001046740349,0.182704057149765,0.990959627409849
"57",1,1.04354939061572,0.16196028858443,0.952602494951088
"58",2,1.03737065091083,0.149735713377732,0.958728371649342
"59",3,1.0543578894449,0.217903577644577,0.983903575174894
"60",4,1.05854365451567,0.188184572948584,0.982966584154057
"61",0,1.01587982287602,0.116227408830423,1.00119120422581
"62",1,1.04342386096727,0.136955226454954,0.964379481612089
"63",2,1.02459458191897,0.169241223704449,0.928522696846718
"64",3,1.01581279828423,0.0894884107740489,0.99490584651773
"65",4,1.0064905990869,0.140575904367669,0.974392087601719
"66",0,1.02188446710003,0.130750173512487,0.947317911510105
"67",1,0.996292713776503,0.131626559584041,0.935286968593546
"68",2,1.01461389168124,0.146228526200394,0.96718457790044
"69",3,1.01483786101412,0.142494885191377,0.945525310223065
"70",4,0.998722389813705,0.150839478602424,0.938891737829969
"71",0,1.06347927882433,0.166945126473663,1.01497892091163
"72",1,1.0538971076849,0.166224717685887,1.02717980185278
"73",2,1.11482275867219,0.207133335999323,1.0912675574757
"74",3,1.05725741723951,0.160100073442161,1.00897155717431
"75",4,1.08413484718614,0.166314904152071,1.04166090023019
"76",0,1.06937653947607,0.194068259456272,0.999549050248709
"77",1,1.13270118678385,0.184450200313936,1.03507379864892
"78",2,1.13576000517458,0.219265329310141,1.07440754093798
"79",3,1.07161984725938,0.16126978282367,1.00241754023579
"80",4,1.08458883335392,0.194670207369441,1.00804268683754
"81",0,1.09332144630185,0.149199127909672,0.991602539749794
"82",1,1.09785817049112,0.23857771815083,0.976275910265524
"83",2,1.12771211266746,0.244351203738857,1.01983596329817
"84",3,1.09084986527469,0.18795147514968,0.995617616453216
"85",4,1.06099441693335,0.177576375672334,0.965554207640533
"86",0,1.06243512875514,0.306120233168912,1.02457456705688
"87",1,1.13013485484683,0.244959911409256,1.05312908355232
"88",2,1.11312882124198,0.175828948232953,1.07109805455916
"89",3,1.07127447391275,0.212747767102456,1.02465718201036
"90",4,1.09866784158318,0.238299358479606,1.03426400464349
"91",0,1.06151044499717,0.135203545567373,1.01407415450592
"92",1,1.10030519340896,0.172498976114386,1.00678197527664
"93",2,1.06357938880237,0.179807638293816,0.966615748130274
"94",3,1.06340600954743,0.175661708120708,1.01508466648675
"95",4,1.04071284520115,0.136054043591569,0.99173826832167
"96",0,1.01582239679203,0.118075182317379,1.00362239861203
"97",1,0.974009693882864,0.178395909421175,0.982736890979961
"98",2,0.886199261734622,0.142147662048356,0.954961089036416
"99",3,1.0168855795396,0.125421271767215,0.999436532214578
"100",4,1.01881584479995,0.184417139046468,0.995707456387627
"101",0,1.01300890725983,0.143906596019506,1.00131434198303
"102",1,0.987538914833611,0.149588063250013,1.01051336524136
"103",2,0.976573762061547,0.0902569230061728,1.02819557632853
"104",3,1.0051440275547,0.172439972841279,1.00235676559635
"105",4,1.0028875796759,0.143142070035705,1.01413683944489
"106",0,1.06313888028197,0.190852721353665,1.00801953989729
"107",1,1.11794841453156,0.134431923498247,1.03615876002394
"108",2,1.15185410374108,0.166719879120874,1.05725656864199
"109",3,1.06482862092007,0.139464687287749,1.01165827392311
"110",4,1.11011562340466,0.132308163493392,1.03357883213922
"111",0,1.06453709085787,0.163029010858773,1.00549430688162
"112",1,1.19448952139983,0.207141190445264,1.07450368248718
"113",2,1.21778647007929,0.188311540667211,1.09703533368964
"114",3,1.05117618423601,0.181779469721816,1.00490297977436
"115",4,1.13889712624192,0.188970771321512,1.04611160575913
"116",0,0.9805280858017,0.19993964883902,0.954099007686345
"117",1,1.05579243788265,0.173007306308061,0.968910029184151
"118",2,1.10187998362361,0.180404934755496,0.993541912486143
"119",3,0.965737319441511,0.201366307260882,0.946271444898782
"120",4,1.0294977843214,0.204860649208274,0.972449417980841
"121",0,1.0856628471022,0.114004052657545,0.988099948154613
"122",1,1.04995769781376,0.149386286146078,1.01505155964644
"123",2,0.986201501571724,0.115172632703826,0.98364908385337
"124",3,1.07808143706191,0.150949630850872,0.981310446062037
"125",4,1.03900611978852,0.114180986537729,0.989984391293992
"126",0,1.07014247635812,0.117592887471331,1.03837644201972
"127",1,1.12578631015422,0.14224518237116,1.09749727028114
"128",2,1.12914094407754,0.140106874957915,1.11625307754526
"129",3,1.0794016834448,0.15345867802027,1.05084436580872
"130",4,1.06529021322367,0.111746187224921,1.05123065291113
"131",0,1.04175975675506,0.111029730009273,0.958910461148635
"132",1,1.0724804305158,0.0979664565217504,0.985256561739982
"133",2,1.11430990697531,0.13724683267531,0.983831311571588
"134",3,1.0488346474038,0.120649541716948,0.963440989316856
"135",4,1.06573884383733,0.099852165652839,0.973218966445934
"136",0,0.967899838073211,0.0698535079125232,0.967886922958479
"137",1,0.959203771527997,0.0620833765215498,0.956277665885851
"138",2,0.943764606379267,0.0389360035974612,0.904229724423778
"139",3,0.96179408884673,0.123765215641233,0.958607347473801
"140",4,0.946962784845545,0.092095760934841,0.950987120046042
"141",0,1.14045569942223,0.147966660908742,1.04404459236008
"142",1,1.12864909390933,0.207891997524684,1.01483249340655
"143",2,1.13514872166371,0.150545274772074,1.01838632742052
"144",3,1.13226323923077,0.199320144916265,1.03871850219685
"145",4,1.17578238970379,0.198513543948479,1.05907671758266
"146",0,0.933540404861543,0.112493393134762,0.935030783019337
"147",1,0.978532395838393,0.132876301417947,0.920584571687478
"148",2,1.04966110726072,0.155409775827732,0.938955514605283
"149",3,0.942135772994864,0.116878970641927,0.941791621494846
"150",4,0.943957940602247,0.104475805910531,0.917091161543764
"151",0,0.967685757998159,0.0733717948915786,0.945868829896743
"152",1,0.96247732748756,0.0802698646003214,0.984037167144383
"153",2,0.970735595913258,0.128161120500308,1.00080838825253
"154",3,0.980992669807253,0.0973314242749788,0.95845808438604
"155",4,0.968751955343996,0.0773200854321986,0.971786849852749
"156",0,1.06490896984922,0.0934033307631732,1.01967047677811
"157",1,1.05670254371334,0.122981003026737,0.954507040348781
"158",2,1.11781271813128,0.178736355115056,0.974467026152506
"159",3,1.06344011679715,0.0828309056026903,1.01203816335604
"160",4,1.08476964760346,0.105965340650708,1.00896840001719
"161",0,1.03224425468809,0.124427578048732,1.00278004279967
"162",1,1.04691837580829,0.181883239253074,0.993002547773117
"163",2,1.05417715341068,0.1737304099544,1.01065883852472
"164",3,1.04069118456189,0.152393882405545,1.00669345685707
"165",4,1.02349981314257,0.152615419479475,1.00505961986673
"166",0,0.9632628709758,0.16404167990573,1.0018183462886
"167",1,1.01935053159882,0.215816774165573,1.05702813833176
"168",2,0.97590617636101,0.13496818115797,1.04528127710128
"169",3,0.956486621354889,0.178072272544723,0.996911943541915
"170",4,0.993214657497385,0.18419978018356,1.01583621996986
"171",0,0.979668062161232,0.145215136035298,0.973843965211951
"172",1,0.983324399561261,0.0816649600858547,0.959579209291409
"173",2,0.953375742325812,0.0561883830998905,0.953696506021654
"174",3,0.978525456183186,0.10479821931518,0.970042928153352
"175",4,1.01546971623945,0.113017539556013,0.981121332795775
"176",0,1.03038793383229,0.101621008973267,0.985972270946115
"177",1,0.970367177581581,0.128282223271012,0.937210826742965
"178",2,0.984165439417094,0.187012601766136,0.946055449143053
"179",3,1.03066377594517,0.123941134282657,0.984020372408514
"180",4,1.03136775355712,0.14482744243987,0.987739409707617
"181",0,1.03439967373391,0.135981112552,0.964895351139343
"182",1,0.922712102575385,0.169744994705351,0.922164771366142
"183",2,0.922572529481555,0.165193352105027,0.915766168725828
"184",3,1.02642348121399,0.197657911818415,0.966638810180903
"185",4,1.01481588374671,0.129253462607739,0.941257359395397
"186",0,1.04915255690493,0.0902440572742216,1.06091362825573
"187",1,1.08425339716771,0.108157796185887,1.09435693630625
"188",2,1.13494136438747,0.135690510053889,1.07141995737299
"189",3,1.05043432720922,0.107245804719738,1.06172362222123
"190",4,1.05264395501339,0.0892322817052856,1.06643755347738
"191",0,1.00829085731013,0.116172921078796,1.01240362053304
"192",1,0.999113901931001,0.158621901014319,1.01984558838191
"193",2,0.968353450485819,0.176144779864742,1.04836841245978
"194",3,1.00618494962223,0.157974854819266,1.01435609356054
"195",4,0.968438476221305,0.160015756723455,1.01996650488065
"196",0,0.992371757474862,0.0723876244307981,1.01636026570058
"197",1,0.980943833979918,0.0879286695119436,1.00758423224445
"198",2,1.03917955173689,0.0612006368796249,1.0249500497646
"199",3,0.997280964521271,0.116494976552015,1.02275171905067
"200",4,0.966198322001772,0.101682034520014,1.00492859008517
"201",0,1.00581725314053,0.0891826548328931,0.989936113475583
"202",1,0.941273761033084,0.105304388286368,0.965099032015025
"203",2,0.893569900292225,0.040392176932277,0.904099906794035
"204",3,1.00595119357033,0.162211726417531,0.990401163616829
"205",4,0.995915959461374,0.135256926632744,0.984738195476834
"206",0,1.07245520557992,0.170139931754624,1.03408876711602
"207",1,1.00854020343444,0.179837979624073,0.972948890808034
"208",2,1.04863566247078,0.206885307775471,1.01728037576288
"209",3,1.07395275720344,0.218692755205898,1.03410978840764
"210",4,1.00833427133004,0.194489759978245,0.975371579714768
"211",0,1.01021541368605,0.202979118436418,1.02577037761335
"212",1,0.973900702899225,0.255773828244882,1.007830873636
"213",2,0.983327221289066,0.290059938254392,1.04809711409003
"214",3,1.00404911525511,0.235765405039877,1.03179026018118
"215",4,1.00714179205264,0.277869453278918,1.02978706767243
"216",0,1.06908428701472,0.132539863202936,0.97873962788471
"217",1,0.995519762207923,0.148694204651579,0.931908133420562
"218",2,0.9579050102596,0.18446506735811,0.921884370978353
"219",3,1.0657953728413,0.167392930406788,0.971419611602883
"220",4,1.02060629777345,0.126087807345282,0.952059302561562
"221",0,1.06004210601401,0.173862434804867,1.00392384061761
"222",1,1.08344169721611,0.146043996190566,0.981228490651978
"223",2,1.13360996221858,0.172362996183206,1.02931845251782
"224",3,1.06003198144302,0.17596079131383,1.00385029308448
"225",4,1.04435428274604,0.153205459066908,0.989519870843894
"226",0,1.06705261979713,0.13310576026606,0.999522652983698
"227",1,1.02244787101292,0.107283271076218,0.956790887807668
"228",2,0.992566640632268,0.15792848047635,0.904928178815567
"229",3,1.06300182633382,0.151618914406616,0.98908565452783
"230",4,1.02904644240004,0.164306324273277,0.95941426797352
"231",0,1.06063094709771,0.12619483436157,1.00543841382807
"232",1,1.03350732654026,0.077939468326415,0.959959844453366
"233",2,1.02809656034844,0.105254497894812,0.953085772109773
"234",3,1.04965355487803,0.116223849272293,0.990191341618842
"235",4,1.03171458844098,0.113538142685474,0.983149644042099
"236",0,1.12761641837864,0.407104654687699,0.989659947331285
"237",1,1.02192782065425,0.22873031227802,0.956406431380824
"238",2,1.07244387402169,0.279067933780688,0.991043248703594
"239",3,1.11341920127885,0.263844578107093,0.994568745887593
"240",4,1.0793448947048,0.280941938538865,0.978217344841183
"241",0,1.05798449896663,0.0689238573690249,0.984035054329757
"242",1,1.06170422071849,0.129529720233527,0.968144465264157
"243",2,1.07477377257233,0.0788850782878708,0.952910584755364
"244",3,1.06235007990763,0.120652731221347,0.984422759864033
"245",4,1.05281572068342,0.11190562679348,0.956278193993418
"246",0,1.05471403288382,0.141877649142284,1.00091288733275
"247",1,1.08966752320509,0.18409480440532,1.04835528375824
"248",2,1.12549234863635,0.173912446452524,1.06732845900304
"249",3,1.05076004795573,0.147079525930789,1.00190540798567
"250",4,1.07726786490674,0.162992131303014,1.03669827561405
"251",0,1.05365625664948,0.188469413137541,0.99833321718718
"252",1,1.07597478459182,0.301206153910004,1.0327273006536
"253",2,1.13782912733483,0.33100167057052,1.07229343491267
"254",3,1.05367449229878,0.223807915425537,0.997499744157486
"255",4,1.10956781638475,0.243840452394272,1.03772937025262
"256",0,1.07766488031091,0.228544666324422,0.992950692911009
"257",1,1.07807048288221,0.295056081161819,1.04815860666161
"258",2,1.20721503297394,0.356171447473002,1.08380895311617
"259",3,1.07237151736566,0.255458792087376,1.00419550271015
"260",4,1.01627740452339,0.265162967815311,1.00075477267103
"261",0,0.994965890273061,0.161925414158091,0.965766803605575
"262",1,0.97686106244511,0.144083010101515,0.963253611669064
"263",2,0.996397752142117,0.157199838195669,0.99828643824491
"264",3,1.00233161955721,0.143263376330606,0.970260484606099
"265",4,0.954107425979788,0.152997628548198,0.961753524854332
