"","setting","scale_s","scale_t","sill"
"1",0,1.08050787890243,0.999304927762322,1.05731541094731
"2",1,1.01626074029527,0.964918697418013,0.991066134884689
"3",2,1.11643181559091,1.15312118840753,1.02562357518618
"4",3,1.07715558404515,1.03794900702554,1.05855153004346
"5",4,1.04472720298476,1.03970419847189,1.04240601795386
"6",0,1.03555159277261,1.00793131428632,0.975441790767642
"7",1,0.995017994772692,1.07702821830416,0.951115006346235
"8",2,0.869637364445854,1.01462923801181,0.871248950090289
"9",3,1.03448443971382,1.09643401199197,0.978949575701063
"10",4,1.02609027367556,1.04227455304328,0.970185307313494
"11",0,1.03334777907063,1.09697578750852,1.01154255708697
"12",1,1.12064067496102,1.14454612387725,1.05450349929527
"13",2,1.16577943590911,1.19241570352106,1.11543311674799
"14",3,1.03311983764196,1.01240614813998,1.0074469435176
"15",4,1.09854683234027,1.20104199497781,1.0590282754574
"16",0,1.04575523327178,1.11628788298882,0.994031051710969
"17",1,1.05815060726589,1.14545428236836,1.03700583810296
"18",2,1.05944092304919,1.08385900895216,1.03596686065126
"19",3,1.03501616816577,1.06953007420146,0.992835804363323
"20",4,1.01454977143944,1.03350293008111,1.0115944430607
"21",0,1.05406112611326,1.01827505875658,1.05618809816664
"22",1,1.03447519152967,0.908523802141518,1.02140350266066
"23",2,1.13145402361534,0.919755934025228,1.11123985163696
"24",3,1.0519044875823,1.03601572405507,1.05608744715116
"25",4,1.04316481006016,0.925991436803623,1.01860840709734
"26",0,1.01584149956817,0.989556777498697,0.99145930449936
"27",1,0.916987809731834,0.96112096609974,0.889172766156059
"28",2,0.877481243911516,0.977910850432161,0.875546495254157
"29",3,1.01043114750188,0.998717341811863,0.983229281048184
"30",4,0.924505541677602,0.967145534011801,0.952210439244536
"31",0,1.07461773517028,1.12156105012784,1.02246571460298
"32",1,1.13775015650945,1.20342924915897,1.06933652881421
"33",2,1.18842493169168,1.14445458013924,1.06430152895922
"34",3,1.07538723180488,1.09269515734008,1.02012539959843
"35",4,1.10459690478707,1.19310862407482,1.06298209342237
"36",0,0.976122326631018,1.14837657033734,0.980234540483883
"37",1,1.05446098162579,1.14275245941677,0.945408641670258
"38",2,0.988917217467496,1.17754776110654,0.918604998293389
"39",3,0.985727817583399,1.01900212998198,0.975656458811011
"40",4,1.06108534953085,1.10085400443184,0.958525456708419
"41",0,0.957781293437617,1.11412514168491,0.959737522749598
"42",1,0.943077274844306,1.02399283716974,0.891499893678085
"43",2,0.9699729992818,1.03998975602202,0.886222053840849
"44",3,0.96817627754486,1.01774390283444,0.970126312842719
"45",4,0.93857350580825,0.990640715928819,0.90011903015511
"46",0,1.01490836294918,0.994841660280284,1.00491644976346
"47",1,1.10098774458306,0.896849231688645,1.01376334754893
"48",2,1.04987963718768,0.872889016745717,1.00470976522373
"49",3,1.02544975383553,0.970557281281575,1.01303747069235
"50",4,1.09133219060178,0.897895451594706,1.01943490248707
"51",0,0.934742089625446,1.0945094401877,0.95540101848961
"52",1,0.969561826953365,1.04648991356458,0.996140984963914
"53",2,0.897627303297073,1.11418950440932,0.985490787489838
"54",3,0.935612494484953,1.06030826881571,0.954688763251379
"55",4,0.956779963138238,1.08836838073253,0.988120548184742
"56",0,1.2006985882141,1.11716126485195,1.05302294196376
"57",1,1.09472042489327,1.10941257829234,0.966093328617771
"58",2,1.15191072159325,1.10327932824648,1.04963593536588
"59",3,1.18310569750674,1.19688749380695,1.05066087132155
"60",4,1.11217871843285,1.07448246611116,0.995655292614245
"61",0,0.995414110276948,0.972850083967431,0.979452342538384
"62",1,1.04725017271279,0.994181828692998,0.93263943958406
"63",2,0.990197048286473,1.20158451778396,0.87459898286783
"64",3,0.997200839174699,0.940516274740391,0.974551184108348
"65",4,0.997136117639395,1.02545239349179,0.95352552204726
"66",0,1.03444740913712,0.920213983930068,0.96847614896389
"67",1,1.01668976912048,0.890020621539344,0.9612877472323
"68",2,1.03524816624079,0.884276875920501,1.00653936666806
"69",3,1.0360894101579,0.916900554014576,0.969117391049676
"70",4,1.03287650508004,0.897615329495845,0.977507032855684
"71",0,1.0218607366213,0.909160342699701,0.982509612125621
"72",1,0.976823823397735,0.905392286123077,0.9868237664883
"73",2,0.968877373315522,1.10101515170204,1.01733142696581
"74",3,1.01582877230361,0.93412956386906,0.973430970002869
"75",4,1.02366640424119,0.893821095921463,1.00085929073055
"76",0,1.0379019056801,1.12902031692705,0.995178622793147
"77",1,1.03927303049852,1.1061097452889,1.0131625558836
"78",2,1.07914205375545,1.21322399744673,1.0639768818294
"79",3,1.04283237938864,1.10418652312404,0.995813529787942
"80",4,1.03457756018766,1.11151295379882,1.00661093827013
"81",0,1.09962453159083,1.03989236912375,0.99707994528719
"82",1,1.20484476971589,1.22781338333184,1.00424707536448
"83",2,1.22145562457462,1.18781004502297,1.04111850313929
"84",3,1.0818446341966,1.11559412483761,0.991428643039609
"85",4,1.15270275472842,1.12144910200238,0.987427301155495
"86",0,1.05496819440485,1.03427015485128,1.02890315589127
"87",1,1.1999309360626,1.09570303028666,1.1276040346207
"88",2,1.05861668240563,1.03217428720765,1.05850056347449
"89",3,1.05000091834162,0.988669663535248,1.01684289286896
"90",4,1.11714909788599,1.04544466970643,1.06267590155234
"91",0,1.06059881678595,0.956300076762395,1.00156222402996
"92",1,1.09515619832065,0.992878009258899,0.966624709218646
"93",2,1.02945403069919,0.940450069597394,0.91736764926113
"94",3,1.06103172606701,1.03390908280695,1.00622638223687
"95",4,1.06325290624059,0.962639324511329,0.982994716908251
"96",0,1.00670920536886,0.890613176897799,0.969010643338362
"97",1,1.00281150742965,0.945696171356246,0.964990315075626
"98",2,0.999273858520683,0.87052085308857,0.973512634332035
"99",3,1.00389204731031,0.928215294313064,0.96255559005454
"100",4,1.01678718465532,0.93391438701258,0.958932480385731
"101",0,1.09776003910823,1.13214724562201,1.05105739316413
"102",1,1.08301225574172,1.08488047333425,1.05589815816713
"103",2,0.98437070841261,0.832831649374637,1.02932160302672
"104",3,1.09977627238867,1.11006791821416,1.05268181620652
"105",4,1.09600621900986,1.01857256952797,1.05351709614443
"106",0,1.00798526237698,0.926682503450883,0.972108368930811
"107",1,1.01057753871549,1.02619749798032,0.988366277943162
"108",2,1.06115885505196,1.01620233843474,1.01425142889358
"109",3,1.00631244806089,0.951683808451972,0.97027546552603
"110",4,1.01639506852786,0.974991740732928,0.9793231594871
"111",0,1.0128832701524,1.0496301402565,1.0243983719054
"112",1,1.1902625456102,0.981410432319934,1.12575321561618
"113",2,1.1956754221295,1.13919784874316,1.14062438892199
"114",3,1.01983316338443,0.980441079231364,1.02017865456747
"115",4,1.081931118036,1.0117844736649,1.05291342749173
"116",0,0.994100249609956,0.97573715359897,0.967327895185134
"117",1,1.05422745196834,0.981386094908785,0.985161504326477
"118",2,1.09208988771563,1.03958455918065,0.997761244016229
"119",3,0.996422326718248,1.03061110695476,0.971140016792506
"120",4,1.00003452189706,0.941698800562073,0.970439818833905
"121",0,1.10983392876261,0.940937090901336,1.02111527250473
"122",1,1.14575758342995,0.969450451503739,1.06730735776594
"123",2,1.07888327679005,0.95741366049075,1.01624788362635
"124",3,1.1001086118632,0.942868608762391,1.00777363157723
"125",4,1.12763046016961,0.886277715755351,1.04412899080908
"126",0,1.13030700606427,1.15009393441541,1.07242164674812
"127",1,1.21143760489375,1.23210708143939,1.16486930910527
"128",2,1.30410502645191,1.3139368562888,1.24517766520388
"129",3,1.14943518058495,1.11485516407377,1.09235233067812
"130",4,1.1659810597275,1.16504933858503,1.1189001291881
"131",0,0.911230130842355,0.856835769730936,0.89828858562367
"132",1,0.897903867046636,0.725126548221992,0.913240574298992
"133",2,0.915579908902428,0.684245856041398,0.917872953438946
"134",3,0.91787703500164,0.90680686936929,0.904683840357095
"135",4,0.91837307083567,0.772792018534103,0.9275118758567
"136",0,0.927845763424976,1.03542894083624,0.939058936268325
"137",1,0.84775005562025,0.820056818960753,0.879021437336016
"138",2,0.874841107766617,0.856462961057257,0.852164915011966
"139",3,0.934578636908891,1.00599828976346,0.939576865937621
"140",4,0.890071383258214,0.971815900341992,0.916400896465192
"141",0,1.11221303288374,1.03222803197874,1.04760351589019
"142",1,1.17350871007476,1.03648607130756,1.04711230584163
"143",2,1.19211141234789,0.965522036376221,1.0886421567825
"144",3,1.09487596827369,1.07491268244715,1.03796693261666
"145",4,1.17993642949221,1.0484771386519,1.06122034315964
"146",0,1.02503670746512,1.01434416663804,0.970571605048612
"147",1,1.03756529276458,1.04321877482366,0.939539978572981
"148",2,1.0826609364052,1.04043714631283,0.925453395950361
"149",3,1.00958727680775,1.06361849995271,0.963561879993145
"150",4,1.04064335884852,1.06009241102569,0.935927047207435
"151",0,0.87044650658929,0.880181734720357,0.89572114552457
"152",1,0.869933396216807,0.830613530462446,0.920645903494811
"153",2,0.777411375271238,0.827170637350199,0.867890529739778
"154",3,0.873349810154159,0.877081175972304,0.891985836821844
"155",4,0.872039118748963,0.865055630004268,0.931006652597981
"156",0,1.05473421887457,0.820539943718481,0.983912865434058
"157",1,1.09411296352,0.918233561859074,0.942833877052371
"158",2,1.13844779049517,1.03677491386789,0.967787397765531
"159",3,1.05709958530659,0.869987750053133,0.979948598143904
"160",4,1.11267213991182,0.909156035436776,0.989307594121974
"161",0,1.02777715708839,0.963320395721416,0.999516655981136
"162",1,0.990817169695203,0.993646012795731,0.977039099497443
"163",2,1.04324876239613,0.964911330550881,1.01264927926318
"164",3,1.04425911953316,0.98254426563307,1.00723409992252
"165",4,0.998085254257078,0.920907476832816,0.994743819565779
"166",0,0.991979855506943,0.95689432598318,0.987868718065483
"167",1,1.04651381473567,1.00482103420239,1.0607357403573
"168",2,0.981776369451952,0.954916178158615,1.02442080395213
"169",3,0.991714528460018,0.968313971919282,0.98745629025721
"170",4,1.00776394519774,0.987121716720755,1.00630273272094
"171",0,1.04734373233282,1.10302360051876,0.989574986670521
"172",1,1.02846133884227,0.892241669689966,0.933811648412036
"173",2,1.02934484975313,0.986657968182115,0.923122158188342
"174",3,1.05298530645735,0.973970360018807,0.987874289085472
"175",4,1.10939248884494,1.06565638528125,0.993908193100356
"176",0,1.05233281559165,0.994506307115754,0.966580911811091
"177",1,0.995269295958791,1.0082154048997,0.915532134969396
