Cod;Nombre de la Provincia;Indig;Afro;Mestizx;Mulatx;Blancx;Otrx
1701;QUITO;61122;22389;1482034;34887;235315;4106
1702;CAYAMBE;18766;288;47100;722;2855;69
1703;MEJIA;2786;277;54536;934;4238;117
1704;PEDRO MONCAYO;4753;115;19072;324;1306;24
1705;RUMIÑAHUI;1670;453;5469;1157;7767;145
1707;SAN MIGUEL DE LOS BANCOS;78;212;9244;422;756;5
1708;PEDRO VICENTE MALDONADO;327;414;742;362;1435;7
1709;PUERTO QUITO;96;583;14050;595;1753;23
