Cod;Nombre de la Provincia;menos65;65ymas
901;GUAYAQUIL;1907293;132496
902;ALFREDO BAQUERIZO MORENO;18578;1404
903;BALAO;16334;928
904;BALZAR;44995;3475
905;COLIMES;19477;1572
906;DAULE;78865;6283
907;DURAN;168906;9808
908;EMPALME;60295;4494
909;EL TRIUNFO;31794;2323
910;MILAGRO;129278;10825
911;NARANJAL;50290;3192
912;NARANJITO;29423;2333
913;PALESTINA;13128;939
914;PEDRO CARBO;33949;2762
916;SAMBORONDON;42574;2902
918;SANTA LUCIA;31218;2650
919;URBINA JADO;46826;3553
920;YAGUACHI;44688;2942
921;PLAYAS (GENERAL VILLAMIL;27990;2055
922;SIMON BOLIVAR;18874;1511
923;CORONEL MARCELINO MARIDUE„A;10162;892
924;LOMAS DE SARGENTILLO;13216;978
925;NOBOL (VICENTE PIEDRAHITA);13859;894
