Cod;Nombre de la Provincia;Indig;Afro;Negrx;Mulatx;Montubix;Mestizx;Blancx;Otrx
1701;QUITO;91478;59113;11281;34365;30387;1853203;150678;8686
1702;CAYAMBE;29057;1261;159;577;895;52042;1636;168
1703;MEJIA;6084;1165;144;692;692;70135;2302;121
1704;PEDRO MONCAYO;8764;541;83;252;315;22370;749;98
1705;RUMIÑAHUI;1625;1694;218;917;1026;75141;5023;208
1707;SAN MIGUEL DE LOS BANCOS;102;412;161;537;410;14897;997;57
1708;PEDRO VICENTE MALDONADO;337;510;313;424;362;10160;798;20
1709;PUERTO QUITO;107;707;420;621;498;17007;1047;38
