Cod;Nombre de la Provincia;Indig;Afro;Negrx;Mulatx;Montubix;Mestizx;Blancx;Otrx
1701;QUITO;46966;41243;8991;13336;2112;1786212;84987,04;0
1702;CAYAMBE;73408;765;209;0;693;22885;0;0
1703;MEJIA;3131;0;0;826;0;73274;0;0
1704;PEDRO MON;673;0;0;0;0;41762;1082;0
1705;RUMIÑAHUI;2065;0;0;1538;0;58229;6052;0
1707;SAN MIGUE;90;214;214;214;0;5568;214;0
1708;PEDRO VIC;442;0;1769;0;0;10616;885;0
1709;PUERTO QU;331;1581;0;0;0;28689;1337;0
