"","setting","scale_s","scale_t","sill"
"1",0,1.26801207009856,1.02492462314853,0.969638522962219
"2",1,1.22541981420813,1.07823039018565,0.925562979770818
"3",2,1.06599940512441,0.975917793970084,0.901129385318546
"4",3,1.20603485184981,1.1372668155519,0.952510113143561
"5",4,1.16047313677158,1.06360505627748,0.935457445779005
"6",0,1.39984555524279,1.61455287229703,1.00945835115679
"7",1,1.2705481228451,1.40465898371915,0.984203165873216
"8",2,1.29797854557253,1.46254129840665,0.990869396783311
"9",3,1.39778142041503,1.50302909580029,1.00306973434728
"10",4,1.19875960114684,1.401745600701,0.934802806247214
"11",0,1.45977265318908,1.38386834960256,1.04979073777054
"12",1,1.2775002647937,1.3089435537978,1.01174112957554
"13",2,1.26692295005995,1.32274797216087,1.06889204905068
"14",3,1.44077475816124,1.43901461562802,1.05709901996016
"15",4,1.42448377253244,1.53431524722953,1.06656265822993
"16",0,1.25948657879963,1.0858337811597,0.975452157330221
"17",1,1.2279073584662,1.20599299584594,0.970446543985226
"18",2,1.28112107196537,1.31575103357039,0.990927320871184
"19",3,1.25635758426023,1.26667860202185,0.978498012559871
"20",4,1.29074517657228,1.2844273921374,0.992921246555057
"21",0,1.1697654228196,1.28762248458604,0.922240382373034
"22",1,1.1181598978724,1.19365231172662,0.928273669583365
"23",2,1.16290053772307,1.16132048660342,0.913732522121849
"24",3,1.18695389635489,1.29238694705762,0.932990332760138
"25",4,1.0647379099986,1.20571385592684,0.892299647045436
"26",0,1.31368763553841,1.36595432252178,0.997004595541265
"27",1,1.35768926686953,1.32067743413943,1.04114123645813
"28",2,1.51265653410809,1.54040568146114,1.00746014197358
"29",3,1.31420049437563,1.26204152139448,0.999942298687801
"30",4,1.42132285633052,1.32724037828711,1.04824110550307
"31",0,1.39763415389497,1.47889868273931,0.996544492002875
"32",1,1.53757758259877,1.60186869395529,1.0448572327865
"33",2,1.65643353336697,1.828131711111,1.10489450345919
"34",3,1.37710680933714,1.45337222230712,1.00212859027976
"35",4,1.60866113789852,1.64812804796622,1.05044836713667
"36",0,1.49470673327988,1.62750434509929,1.00463918576831
"37",1,1.33886392500839,1.24372854405646,0.968120846918128
"38",2,1.37160447180932,1.3051548539542,0.955929965254229
"39",3,1.37069989591522,1.43301319514934,1.00265516924196
"40",4,1.32191557349554,1.29238854293142,0.952957422876708
