"","setting","scale_s","scale_t","sill"
"1",0,1.16665526160387,1.01976089407024,0.958826155285949
"2",1,1.3223755106705,1.11251030632666,0.919773164383502
"3",2,1.10388909041482,0.878248517323907,0.909423956672483
"4",3,1.20826815511959,1.07397835303671,0.936292458357175
"5",4,1.15739564407709,1.03574863931039,0.923551694694203
"6",0,1.2573382881659,1.40549298049831,0.9595437354215
"7",1,1.3720025032811,1.20685466204695,0.93842713982867
"8",2,1.51668094721152,1.68725745724077,1.11610978523018
"9",3,1.25402225612063,1.21866445109147,0.950400286828619
"10",4,1.29853496253065,1.27170111361495,0.957569910318261
"11",0,1.33762570764329,1.95694143078971,1.00751577453091
"12",1,1.20006935516091,1.66311143104937,1.0736395703252
"13",2,1.05538920441259,1.22134587175749,1.01254967397394
"14",3,1.22146750485122,1.56405244453282,0.950468965516176
"15",4,1.27972759516256,1.63112990391038,1.01138542196158
"16",0,1.3573117733117,1.19093287868569,0.985784988039983
"17",1,1.18848574114574,1.29271455868062,0.877934443533241
"18",2,1.27275034683329,1.52588963734044,0.97217520082773
"19",3,1.26926677739369,1.11997461193949,0.949402177880267
"20",4,1.35784694105801,1.45374402273617,0.993594432936118
"21",0,1.35503568601459,1.44411771792472,1.03732262707288
"22",1,1.27355345253969,1.57356697295808,1.00022293662362
"23",2,1.11923670482289,1.29751556132842,0.951483050156905
"24",3,1.33022006116049,1.43956463501089,1.03161421776587
"25",4,1.35805966185159,1.48158640797505,1.0386360782957
"26",0,1.14509445805363,1.5460418650184,0.963541275580083
"27",1,0.942757778939812,1.00309969774494,0.89895875867854
"28",2,1.14315326812131,1.27252085847852,0.917215379101291
"29",3,1.0994681296324,1.22867106486128,0.912037664124724
"30",4,1.04779199813167,1.30554469259019,0.937265306114159
"31",0,1.2567655385517,1.38208165836697,0.961095974699056
"32",1,1.40374220799997,1.60629170885607,0.94651466615004
"33",2,1.31064795196658,1.19152537323639,0.888257475939877
"34",3,1.16556306446814,1.38692544964677,0.894354148715529
"35",4,1.38419525601815,1.43558629068443,0.934344066822713
"36",0,1.35542365239215,1.58914054050549,0.959090249599234
"37",1,1.26303805525,1.46431155226549,1.01657907568116
"38",2,1.41978001264376,1.48494796118214,1.02790245715099
"39",3,1.31923683583739,1.48344554509097,1.01940228585262
"40",4,1.28577957653787,1.41624677628785,0.960294376790087
"41",0,1.23104614691963,1.19245516450658,1.01995348935586
"42",1,1.21916718039962,1.02564772891107,0.964402419599237
"43",2,1.17536349095191,1.08381441195657,0.945287304103148
"44",3,1.29384967581653,1.16458561834624,1.0394487131051
"45",4,1.26163331630338,1.01668976995961,1.00569405806355
"46",0,1.36693151095945,1.63211514571418,1.0006912504417
"47",1,1.19077515641259,0.870868184108245,0.909160657494873
"48",2,1.09650800431565,1.22880413447014,1.01699272467095
